TrialID,Title,Phase,Status,Enrollment
NCT01934049,"Postoperative Recovery in Elderly Patients Undergoing Hip Hemi-arthroplasty",PHASE4,UNKNOWN,80
NCT00785538,"A Study of IMC-A12 in Participants With Tumors Who No Longer Respond to Treatment or For Whom No Treatment is Available",PHASE1,COMPLETED,24
NCT02789358,"A Time-to-effect Based Dosing Strategy in Cryoballoon Ablation of Patients With Paroxysmal Atrial Fibrillation",NA,COMPLETED,140
NCT02863458,"DNA Hypomethylating Agents and Lenalidomide in Elderly Patients With Myeloid Malignancies in the US",N/A,WITHDRAWN,N/A
NCT00592748,"Charged Particle RT for Chordomas and Chondrosarcomas of the Base of Skull or Cervical Spine",PHASE1 PHASE2,COMPLETED,381
NCT03934138,"Does the Understanding of Placebo Mechanisms Compensate for the Loss of Efficacy Associated With Open Label Placebo",NA,UNKNOWN,126
NCT03808948,"FAST PV and mGFR™ Technology in Congestive Heart Failure",NA,COMPLETED,50
NCT02209948,"Temozolomide 12 Cycles Versus 6 Cycles of Standard First-line Treatment in Patients With Glioblastoma.",PHASE2,COMPLETED,166
NCT06463548,"Irinotecan Hydrochloride Liposome Combined With Capecitabine and Lenvatinib in Patients With Biliary Tract Carcinoma",NA,NOT_YET_RECRUITING,30
NCT02783248,"French National Observatory of Percutaneous Mitral Commissurotomy",N/A,COMPLETED,301
NCT02645448,"Glycemic Responses and of the Autonomic Cardiac Function in Diabetes Type-2 Women Post Resistance Exercise",NA,COMPLETED,12
NCT03444948,"A Clinical Study of EUS-RFA for Inoperable Pancreatic Ductal Adenocarcinoma",NA,SUSPENDED,108
NCT06784648,"Different Doses of BI-1607 in Combination With Pembrolizumab and Ipilimumab  in Participants With Unresectable or Metastatic Melanoma",PHASE1 PHASE2,ACTIVE_NOT_RECRUITING,35
NCT06799455,"Uncuffed Endotracheal Tube vs. no Endotracheal Tube",NA,RECRUITING,200
NCT05847855,"Plasma cfDNA Fragmentomics for Early pNET Detection and Differential Diagnosis of Solid Pancreatic Tumors",N/A,RECRUITING,1000
NCT04980755,"Adapting Body Reprogramming for Severe Asthma: a Feasibility Study",NA,COMPLETED,28
NCT06427655,"Benefit of the SALAD Technique on CPR Quality During Intubation in Contaminated Airway",NA,COMPLETED,36
NCT00391326,"Efficacy and Safety of Prehospital Administration of Bivalirudin in STEMI Patients",N/A,COMPLETED,102
NCT05921526,"Effectiveness of Point-of-care Lung Ultrasound for the Management of Childhood Lower Respiratory Infections",NA,UNKNOWN,616
NCT02974426,"To Evaluate the Optimal Timing of Postoperative Radiotherapy in Patients With IIIA(N2) Non-Small Cell Lung Cancer",PHASE3,TERMINATED,132
NCT02826226,"Effect of Bronchodilatator Testing on Multiple-breath-washout (MBW) Derived Lung Function Parameters",N/A,COMPLETED,145
NCT03933826,"CISTO: Comparison of Intravesical Therapy and Surgery as Treatment Options for Bladder Cancer",N/A,ACTIVE_NOT_RECRUITING,570
NCT05782426,"Study of Polymeric Micellar Paclitaxel  Platinum Combined With Sindilizumab Injection for Advanced Non-squamous NSCLC",PHASE2,UNKNOWN,28
NCT01630278,"Early Ibuprofen Treatment of Patent Ductus Arteriosus (PDA) in Premature Infants (TRIOCAPI)",PHASE3,COMPLETED,363
NCT02631278,"Radio Frequency Ablation (RFA STUDY )",NA,UNKNOWN,10
NCT04852978,"COVID-19 Study to Assess Immunogenicity  Safety  and Tolerability of Moderna mRNA-1273 Vaccine Administered With Casirivimab+Imdevimab in Healthy Adult Volunteers",PHASE2,COMPLETED,295
NCT06431178,"General Anesthesia Versus Sedation By Dexmedetomidine and Ketamine With Local Infiltration for Percutaneous Transcatheter Closure of Atrial Septal Defect in Pediatric Patients",NA,COMPLETED,60
NCT05729178,"Unravelling the Role of KCTD Protein Family in the Clinical Management of Childhood Acute Lymphoblastic Leukemias",N/A,UNKNOWN,80
NCT06578078,"A Clinical Trial to Define the Best Strategy for the Management of Heart Failure in Elderly Patients",PHASE3,RECRUITING,94
NCT01175278,"Vertebral Augmentation With Kyphoplasty vs Nonsurgical Mgmt for Vertebral Body Compression Fractures",NA,WITHDRAWN,N/A
NCT05664178,"Remote Resistance Exercise Powering Survivors - Gastrointestinal Oncology",PHASE1 PHASE2,RECRUITING,100
NCT05216978,"Proof-of-Concept Trial of a Positive Psychology Intervention for Caregivers of Patients Undergoing HSCT",NA,COMPLETED,23
NCT00800878,"Chronic Kidney Disease in Pakistani Population",N/A,UNKNOWN,650
NCT00813085,"A Randomized Trial of Electronic Integration of Care for Better Diabetes Outcomes; The COMPETE II Study",NA,COMPLETED,511
NCT01106885,"Effective Care Management of Depressed Diabetes Patients (The Positive Steps Study)",NA,COMPLETED,339
NCT01741285,"Effects of QVAR in Smokers With Asthma",PHASE4,COMPLETED,40
NCT07393685,"Effectiveness of Xuanfei Jiangzhuo Decoction for Influenza-Induced AECOPD",N/A,NOT_YET_RECRUITING,300
NCT06573385,"Reliability and Validity of Turkish Version of the Diabetes Education Questionnaire (DATE-Q)",N/A,COMPLETED,200
NCT00142285,"Zinc Pneumonia Outpatient Trial in Children < 2 Years",PHASE3,COMPLETED,2260
NCT01260285,"The Safety of Vardenafil in Patients Undergoing Cardiac Surgery",PHASE1,COMPLETED,10
NCT02413385,"Evidence-Based Lifestyle Prescription Program: Pilot Study",NA,COMPLETED,118
NCT00296985,"Continuous Cellsaver and Neurocognitive Decline Post Cardiac Surgery",PHASE4,COMPLETED,312
NCT07089485,"Impact of Anesthesia Alarm Volume on Mental Workload in Surgical Trainees",NA,NOT_YET_RECRUITING,26
NCT06416085,"Psilocybin-assisted Existential  Attachment and RelationaL (PEARL) Therapy for Patients With Advanced Cancer",PHASE2,ACTIVE_NOT_RECRUITING,15
NCT02375243,"Use of Dexmedetomidine in Children Undergoing Cardiac Surgery",PHASE2,COMPLETED,60
NCT01153243,"Vitamin D and Inflammatory Markers of Cardiovascular Disease in African Americans With Type 2 Diabetes",PHASE4,UNKNOWN,117
NCT02949843,"Targeted Therapy in Treating Patients With Incurable Non-Small Cell Lung Cancer With Genetic Mutations",PHASE2,TERMINATED,19
NCT04366115,"Evaluating AVM0703 for Treatment of COVID-19 or Influenza-mediated ARDS",PHASE1,NOT_YET_RECRUITING,16
NCT03699215,"Clinical Trial in Patients Who Have Suffered a Heart Attack and Who Have Undergone Catheterization Treated With Levosimendan",PHASE3,UNKNOWN,184
NCT05437315,"GD2/PSMA Bi-specific CAR-T Cell Therapy",PHASE1 PHASE2,RECRUITING,60
NCT02209415,"EUFURO - EUS-based Follow-Up on R0-resected Patients for Esophageal  Gastric and Pancreatic Cancer",NA,UNKNOWN,182
NCT04160715,"Korean Idiopathic Pulmonary Fibrosis Registry",N/A,RECRUITING,3000
NCT01413035,"Safety and Efficacy Study of Umbilical Cord/Placenta-Derived Mesenchymal Stem Cells to Treat Type 2 Diabetes",PHASE1 PHASE2,UNKNOWN,30
NCT06626035,"Evaluation of Analgesia for Cardiac Elective Surgery in Children",PHASE3,RECRUITING,500
NCT00560235,"Study Of CP-751 871 In Patients With Ewing's Sarcoma Family Of Tumors",PHASE1 PHASE2,COMPLETED,138
NCT05426135,"Artificial Intelligence System for Assessment of Tumor Risk and Diagnosis and Treatment",N/A,RECRUITING,3000
NCT05257135,"A Clinico-biological Database in Cachexia in Patients With Colon Cancer",NA,RECRUITING,150
NCT03532035,"Open Label Study of IV Brincidofovir in Adult Transplant Recipients With Adenovirus Viremia",PHASE2,WITHDRAWN,N/A
